facility_name,city,postal_code,CSDname,latitude,longitude,street_no,street_name,province,odhf_facility_type
Huron Perth Healthcare Alliance - Seaforth Community Hospital,seaforth,N0K 1W0,Huron East,43.5511473,-81.3851219,24,centennial dr,on,Hospitals
Huron Perth Healthcare Alliance - St. Marys Memorial Hospital,st marys,N4X 1B6,St. Marys,43.258998600000005,-81.15189840000001,267,queen st w,on,Hospitals
Huronia District Hospital,midland,L4R 4P4,Midland,44.742184,-79.913566,1112,st andrews dr,on,Hospitals
HÔPITAL GENERAL DE HAWKESBURY AND DISTRICT GENERAL HOSPITAL INC.,hawkesbury,K6A 3G5,Hawkesbury,45.5994979,-74.607557,1111,rue ghislain,on,Hospitals
HÔPITAL GLENGARRY MEMORIAL HOSPITAL,alexandria,K0C 1A0,North Glengarry,45.305873,-74.644064,20260,county rd 43,on,Hospitals
Casselman Satellite Centre,casselman,K0A 1M0,Casselman,45.31256166,-75.08610963,710,rue principale,on,Hospitals
HÔPITAL MONTFORT HOSPITAL,ottawa,K1K 0T2,Ottawa,45.4459814,-75.63923840000001,713,ch montréal rd,on,Hospitals
HÔPITAL ÉLISABETH BRUYÈRE HOSPITAL,ottawa,K1N 5C8,Ottawa,45.431931,-75.6970115,43,bruyère st,on,Hospitals
Windsor Regional Hospital - Ouellette Campus,windsor,N9A 1E1,Windsor,42.308636,-83.031988,1030,ouellette ave,on,Hospitals
James Bay General Hospital - Attawapiskat,attawapiskat,P0L 1A0,Attawapiskat 91A,52.922733,-82.426001,,general delivery,on,Hospitals
James Bay General Hospital - Fort Albany,fort albany,P0L 1H0,"Cochrane, Unorganized, North Part",52.20669,-81.6849,,general delivery,on,Hospitals
Joseph Brant Memorial Hospital,burlington,L8S 1W7,Burlington,43.31715,-79.80261999999999,1230,north shore blvd,on,Hospitals
Kashechewan First Nation,kashechewan,P0L 1S0,Moosonee,51.29000711,-80.61581067,27,st andrews school rd,on,Hospitals
Kemptville District Hospital,kemptville,K0G 1J0,North Grenville,45.0099179,-75.64134820000001,2675,concession rd,on,Hospitals
Kingston General Hospital,kingston,K7L 2V7,Kingston,44.224284,-76.4927891,76,stuart st,on,Hospitals
Kirkland and District Hospital,kirkland lake,P2N 3P4,Kirkland Lake,48.15345,-80.0147,145,government rd e,on,Hospitals
Lady Dunn Health Centre,wawa,P0S 1K0,Wawa,48.000868,-84.772074,10,government rd,on,Hospitals
Lady Minto Hospital,cochrane,P0L 1C0,Cochrane,49.070779,-81.02153100000001,241,8 st,on,Hospitals
Lake of the Woods District Hospital,kenora,P9N 3W7,Kenora,49.7671099,-94.4994107,21,sylvan st w,on,Hospitals
Lakeridge Health - Bowmanville,bowmanville,L1C 2N4,Clarington,43.909145,-78.6791354,47,liberty st s,on,Hospitals
Lakeridge Health - Oshawa,oshawa,L1G 2B9,Oshawa,43.905564,-78.869384,1,hospital crt,on,Hospitals
Lakeridge Health - Port Perry,port perry,L9L 1A8,Scugog,44.104888,-78.954839,451,paxton st,on,Hospitals
Lakeridge Health - Whitby,whitby,L1N 5T2,Whitby,43.856003,-78.944334,300,gordon st,on,Hospitals
