hospital_name,antibiotic_resistant_rate,cdiff_rate,hand_hygiene_pct_before,surgical_safety_pct
Southlake Regional Health Centre - RCC Church,0.0,0.133618385889898,76.9,
St. Francis Memorial Hospital,0.0,0.0,91.21,
St. Joseph's Care Group - St. Joseph's Hospital,0.0,,70.3,
St. Joseph's Continuing Care Centre Of Sudbury,0.0,0.0,,
St. Joseph's General Hospital,,,,
St. Joseph's Health Care Hamilton - West 5th Campus,0.0,,94.49,
St. Joseph's Health Care London - Parkwood Institute's Main Building,0.0,0.0763329643906721,87.61,
St. Joseph's Health Care London - Parkwood Institute's Mental Health Care Building,0.0,0.0,95.17,
St. Joseph's Health Care London - South West Centre for Forensic Mental Health Care - St. Thomas Site,0.0,0.0,97.13,
St. Joseph's Health Care System Hamilton - King Campus,,,,
St. Joseph's Health Care System-Hamilton,0.161913821368577,,90.38,
"St. Joseph's Health Care, London",0.0,0.0,98.98,
St. Joseph's Health Centre Guelph,0.0,,,
St. Mary's General Hospital,0.0,0.0570320520132314,,
St. Thomas-Elgin General Hospital,0.0,0.278241513633834,94.32,
Stevenson Memorial Hospital Alliston,0.0,,,
Stratford General Hospital,0.0,0.328083989501312,,
Strathroy Middlesex General Hospital,,0.773694390715667,80.75,
Sunnybrook Health Sciences Centre,0.0365196749748927,0.282030620467365,,
Sunnybrook Health Sciences Centre - Holland Orthopaedic & Arthritic Centre,0.0,0.0,27.92,
Sunnybrook Health Sciences Centre - St. John's Rehab Hospital Site,0.0,0.135089496791624,50.0,
Temiskaming Hospital,0.375234521575985,,87.87,
The Lady Minto Hospital,0.586166471277843,0.0,,
The Ottawa Hospital - Riverside Site,,,,
The Ottawa Hospital - The Rehab Centre,0.0,0.0,78.29,
The Red Lake Margaret Cochenour Memorial Hospital,0.0,0.0,57.29,
Thunder Bay Regional Hlth Sciences Ctr,0.133854473416502,0.749585051132409,85.82,
Tillsonburg District Memorial Hospital,0.0,,,
Timmins and District Hospital,0.0,0.0648760866744518,,
Tor. East Hlth Ntwrk-Michael Garron Hosp,0.0,0.0653665976685914,,
Trillium Health Partners-Credit Valley,0.0180147721131328,0.240842950326142,91.18,
Trillium Health Partners-Mississauga,0.0290431726761831,0.145220081032805,90.82,
Trillium Health Partners-Queensway Hlth,0.0,0.0,90.22,
Unity Health Toronto - Providence,0.0,,78.47,
Unity Health Toronto-St. Joseph's,0.0647249190938511,,47.75,
Unity Health Toronto-St. Michael's,0.0,,47.42,
University Health Network - Hillcrest/University,0.0,,82.15,
University Health Network - Toronto Rehab Institute: Bickle Centre,0.0,,85.96,
University Health Network - Toronto Rehab Institute: Lyndhurst Site,0.0,,86.95,
University Health Network-General Site,0.241737749076216,,74.51,
University Health Network-Princess Marg,0.0,,86.03,
University Health Network-Western Site,0.0578435909301249,,78.02,
University Of Ottawa Heart Institute,0.156875049023453,0.235312573535179,,
WRHN-Chicopee,0.0,0.0455435624174523,,
Waypoint Centre For Mental Health Care - Oakridge,,,99.18,
Waypoint Centre For Mental Health Care - Regional,,,99.19,
Weeneebayko Area Health Authority - Attawapiskat Site,,,,
Weeneebayko Area Health Authority - Fort Albany Site,,,,
Weeneebayko Area Health Authority - Moose Factory Site,,,,
West Haldimand General Hospital,,,,
West Nipissing General Hospital,,,,100.0
West Park Healthcare Centre,0.0,,92.08,
West Parry Sound Health Centre,0.248756218905473,,,86.00508906
William Osler Health System-Civic Site,0.0332811927979499,0.0536260121909801,94.44,
William Osler Health System-Etobicoke Site,0.0,0.0528373665856494,86.77,
William Osler Health System-Peel Memorial,,,,
Winchester District Memorial Hospital,0.0,1.09649122807018,,
Windsor Regional Hospital - Ouellette Campus,0.0,0.28778818789371,,
Windsor Regional Hospital-Metropolitan Campus,0.0,0.325613578086206,,
Wingham And District Hospital,0.0,0.0,,100.0
Women's College Hospital,,,,
Woodstock Hospital,,,,
